Unnamed: 0,StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
0,1001,36,Female,Caucasian,Some College,19.83372281,,1,Moderate,0,0,1,0,2.929195592,2
1,1002,18,Male,Caucasian,High School,15.40875606,0,0,Low,0,0,0,0,3.042914833,1
2,1003,15,Male,Asian,Bachelor's,4.210569769,26,0,Moderate,0,0,0,0,0.1126022545,4
3,1004,17,Female,Caucasian,Bachelor's,10.02882947,14,0,High,1,0,0,0,2.05421814,3
4,1005,36,Female,Caucasian,Some College,4.672495273,17,1,,0,0,0,0,1.288061182,4
5,1006,18,Male,Caucasian,High School,8.191218545,0,0,,1,0,0,0,3.084183614,1
6,1007,36,Male,African American,High School,15.60168047,10,0,High,0,1,0,0,2.748237415,2
7,1008,15,Female,African American,Higher,15.42449631,22,1,Low,1,0,0,0,1.360142712,4
8,1009,17,Male,Caucasian,None,4.562007558,,0,Moderate,0,1,0,1,2.89681919,2
9,1010,16,Female,Caucasian,High School,18.44446636,0,0,,1,0,0,0,3.57347421,0
10,1011,17,Male,Caucasian,High School,,11,0,Low,0,0,0,0,2.147171625,3
11,1012,17,Male,Caucasian,High School,7.598485819,15,0,Moderate,0,0,0,1,1.559594519,4
12,1013,17,Male,African American,High School,10.03871162,21,0,High,1,0,0,0,1.520077815,4
13,1014,17,Male,African American,Some College,12.10142507,21,0,Very High,0,1,0,0,1.751580958,4
14,1015,18,Female,Caucasian,High School,39.44367642,9,1,Moderate,0,0,0,0,2.396788117,3
15,1016,15,Male,Caucasian,Some College,9.728100711,,1,None,0,1,0,0,1.341520717,4
16,1017,18,Male,Other,High School,10.09865608,14,0,Moderate,1,1,0,0,2.232175278,3
17,1018,18,Female,Caucasian,None,3.528238209,16,1,Moderate,0,0,0,0,1.384404176,4
18,1019,18,Male,African American,Bachelor's,16.25465809,29,0,Moderate,1,0,0,1,0.4695533234,4
19,1020,17,Male,Caucasian,High School,10.8352064,,0,Moderate,0,0,1,0,2.395784095,3
20,1021,16,Female,Caucasian,Bachelor's,2.621597234,2,0,,0,0,0,1,2.7784113,2
21,1022,15,Male,Caucasian,Some College,15.32314203,25,0,Low,1,0,0,0,0.3468940367,4
22,1023,16,Female,African American,None,18.64887957,29,1,Low,0,0,0,0,0.3125462305,4
23,1024,18,Female,Other,Higher,18.94613798,,0,Moderate,1,0,0,0,1.770131877,4
24,1025,18,Female,Caucasian,High School,7.380354648,15,0,Moderate,0,0,0,0,1.505155622,4
25,1026,16,Female,Caucasian,Bachelor's,,5,0,,0,0,1,0,2.977851918,2
26,1027,16,Male,Caucasian,High School,39.44367642,2,0,Moderate,0,1,0,0,2.948717672,2
27,1028,16,Female,Caucasian,Bachelor's,2.252184587,8,0,High,0,0,1,0,2.14520472,3
28,1029,18,Male,Caucasian,None,18.67974837,10,0,High,1,0,0,0,2.854803929,2
29,1030,18,Male,Caucasian,Some College,3.671592547,20,0,High,1,0,0,0,1.519441726,4
30,1031,36,Male,Asian,Some College,5.055317199,12,1,None,0,1,0,0,1.72712031,4
31,1032,15,Male,Caucasian,Bachelor's,,17,0,Very High,0,0,0,1,1.847535471,4
32,1033,18,Male,Caucasian,Bachelor's,7.663289371,25,0,Low,0,1,0,0,0.3846169729,4
33,1034,16,Male,Other,Bachelor's,,21,0,None,1,1,0,0,0.9494060978,4
34,1035,16,Male,Caucasian,Bachelor's,9.126336411,27,1,Moderate,1,1,0,0,1.140959418,4
35,1036,15,Male,Other,High School,3.4153652,23,0,Low,0,0,0,0,0.2614722601,4
36,1037,18,Male,Caucasian,High School,5.34419791,26,1,,0,0,0,0,0.2182848568,4
37,1038,15,Male,Asian,High School,10.1822677,21,1,Low,0,1,0,0,1.067763551,4
38,1039,15,Female,African American,High School,2.949078349,3,1,,1,1,0,0,3.018905858,1
39,1040,17,Female,Asian,High School,39.44367642,21,1,High,1,1,0,0,1.526867832,4
40,1041,17,Female,Other,Some College,,23,1,Low,0,0,0,0,1.0582874,4
41,1042,17,Male,Caucasian,High School,14.29404633,7,0,Moderate,0,0,0,0,2.625128098,2
42,1043,16,Female,Other,Some College,18.75409231,12,1,Very High,0,0,0,0,2.808754822,2
43,1044,18,Female,Caucasian,High School,18.24509122,9,0,,0,1,0,0,2.888891669,2
44,1045,18,Female,Caucasian,High School,18.92151236,1,1,High,1,1,0,0,4,0
45,1046,18,Male,Caucasian,Some College,4.89431194,,0,Very High,0,0,1,0,2.515300272,2
46,1047,18,Male,African American,Some College,2.631306133,5,0,Low,0,0,0,0,2.56376543,2
47,1048,17,Male,Caucasian,Some College,6.04553401,15,0,Moderate,0,0,0,0,1.703611803,4
48,1049,16,Male,African American,Some College,,17,0,High,0,0,1,0,2.099885157,3
49,1050,16,Female,African American,High School,19.44106949,16,0,,1,0,0,0,2.461046963,3
50,1051,17,Female,Asian,Some College,17.18649902,5,0,High,0,0,0,0,2.935477192,2
51,1052,16,Female,Asian,None,2.200354423,12,1,,1,0,1,0,1.986378059,4
